slug,canonical_slug,aliases,name,active,product_count,brand_review_count,brand_reviews_available,order_volume_label,order_volume_numeric,order_volume_tier,years_on_noths,months_on_noths,tenure_label,location,returns_address_full,brand_url,products_url,affiliate_url,reviews_per_1k_orders
rocknrose,rocknrose,,Rock N Rose,True,10,156,True,6.0K+,6000,1K+,12,,12 years,"Stockton on Tees, GB",,https://www.notonthehighstreet.com/partners/rocknrose,https://www.notonthehighstreet.com/partners/rocknrose/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Frocknrose,26.0
scillarose,scillarose,,Scilla Rose,True,62,126,True,6.0K+,6000,1K+,2,,2 years,"Lincolnshire, GB",,https://www.notonthehighstreet.com/partners/scillarose,https://www.notonthehighstreet.com/partners/scillarose/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Fscillarose,21.0
socktalk,socktalk,,Sock Talk,True,1108,117,True,6.0K+,6000,1K+,2,,2 years,"Glasgow, GB",,https://www.notonthehighstreet.com/partners/socktalk,https://www.notonthehighstreet.com/partners/socktalk/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Fsocktalk,19.5
spiritsmith,spiritsmith,,SpiritSmith,True,154,56,True,6.0K+,6000,1K+,4,,4 years,"Haslingden, GB",,https://www.notonthehighstreet.com/partners/spiritsmith,https://www.notonthehighstreet.com/partners/spiritsmith/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Fspiritsmith,9.33
taylersonsmalmesburysyrups,taylersonsmalmesburysyrups,,TAYLERSON'S Syrups,True,4,124,True,6.0K+,6000,1K+,11,,11 years,"Hampshire, GB",,https://www.notonthehighstreet.com/partners/taylersonsmalmesburysyrups,https://www.notonthehighstreet.com/partners/taylersonsmalmesburysyrups/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Ftaylersonsmalmesburysyrups,20.67
themetalhouse,themetalhouse,,The Metal House Limited,True,2,241,True,6.0K+,6000,1K+,13,,13 years,"Gloucestershire, GB",,https://www.notonthehighstreet.com/partners/themetalhouse,https://www.notonthehighstreet.com/partners/themetalhouse/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Fthemetalhouse,40.17
zazahomes,zazahomes,,Za Za Homes,True,86,105,True,6.0K+,6000,1K+,9,,9 years,"Devon, GB",,https://www.notonthehighstreet.com/partners/zazahomes,https://www.notonthehighstreet.com/partners/zazahomes/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Fzazahomes,17.5
bellsscambler,bellsscambler,,Bells Scambler,True,8,188,True,5.9K+,5900,1K+,16,,16 years,"Cumbria, GB",,https://www.notonthehighstreet.com/partners/bellsscambler,https://www.notonthehighstreet.com/partners/bellsscambler/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Fbellsscambler,31.86
dorsetchillishop,dorsetchillishop,,Dorset Chilli Shop,True,4,105,True,5.9K+,5900,1K+,9,,9 years,"Dorset, GB",,https://www.notonthehighstreet.com/partners/dorsetchillishop,https://www.notonthehighstreet.com/partners/dorsetchillishop/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Fdorsetchillishop,17.8
gardenpack,gardenpack,,Garden Pack,True,0,0,True,5.9K+,5900,1K+,4,,4 years,,,https://www.notonthehighstreet.com/partners/gardenpack,https://www.notonthehighstreet.com/partners/gardenpack/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Fgardenpack,0.0
